region,subregion,year,forecast_stunting,slope_pp_per_year,trend_r2
West,Menoua,2026,17.13113913896086,-0.8340538372403954,0.9798184940136706
West,Menoua,2028,15.463031464479855,-0.8340538372403954,0.9798184940136706
West,Mifi,2026,17.115070416258277,-0.860555753632231,0.9752601889321001
West,Mifi,2028,15.393958908993682,-0.860555753632231,0.9752601889321001
West,Nde,2026,16.513568499866324,-0.8357273375523662,0.9518199233853422
West,Nde,2028,14.842113824761554,-0.8357273375523662,0.9518199233853422
West,Noun,2026,17.68514573491416,-0.8520679204920222,0.9880695397871454
West,Noun,2028,15.98100989393015,-0.8520679204920222,0.9880695397871454
West,West,2026,26.788824577025878,-0.18060997328584155,0.15884405056728435
West,West,2028,26.427604630454198,-0.18060997328584155,0.15884405056728435
